CodProducto,Producto,Categoria,Activo,F_vencimiento,P_compra,P_venta,Margen,01-01-2020,08-01-2020,15-01-2020,22-01-2020,29-01-2020,05-02-2020,12-02-2020,19-02-2020,26-02-2020,04-03-2020,11-03-2020,18-03-2020,25-03-2020,01-04-2020,08-04-2020,15-04-2020,22-04-2020,29-04-2020,06-05-2020,13-05-2020,20-05-2020,27-05-2020,03-06-2020,10-06-2020,17-06-2020,24-06-2020,01-07-2020,08-07-2020,15-07-2020,22-07-2020,29-07-2020,05-08-2020,12-08-2020,19-08-2020,26-08-2020,02-09-2020,09-09-2020,16-09-2020,23-09-2020,30-09-2020,07-10-2020,14-10-2020,21-10-2020,28-10-2020,04-11-2020,11-11-2020,18-11-2020,25-11-2020,02-12-2020,09-12-2020,16-12-2020,23-12-2020,30-12-2020,06-01-2021,13-01-2021,20-01-2021,27-01-2021,03-02-2021,10-02-2021,17-02-2021,24-02-2021,03-03-2021,10-03-2021,17-03-2021,24-03-2021,31-03-2021,07-04-2021,14-04-2021,21-04-2021,28-04-2021,05-05-2021,12-05-2021,19-05-2021,26-05-2021,02-06-2021,09-06-2021,16-06-2021,23-06-2021,30-06-2021,07-07-2021,14-07-2021,21-07-2021,28-07-2021
CER004,Germen de Trigo,Cereales,SI,90,12.00,14.00,2.00,1,0,0,1,0,0,1,0,0,1,0,1,2,1,1,2,0,1,0,0,0,2,1,1,0,0,0,0,1,1,0,1,1,1,1,0,2,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,2,1,1,1,0,0,0,0,0,1,1,0,0,1,0,2,1,0,1,1,1,1,0,2
CER005,Salvado de Trigo,Cereales,SI,120,12.00,15.00,3.00,1,0,1,1,0,0,0,1,0,2,1,1,1,1,1,1,2,1,0,0,0,1,1,1,0,0,0,0,0,2,1,1,0,1,1,1,0,2,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,0,0,0,1,1,1,2,1,1,0,2,1,1,0,1,1,1,0
CER006,Granola con Granos Andinos,Cereales,SI,120,5.00,6.00,1.00,1,2,1,2,1,2,2,3,4,0,2,2,2,1,5,2,4,2,1,2,0,2,4,5,0,1,3,3,4,0,2,2,2,1,3,1,2,1,2,2,2,3,3,5,2,2,2,4,2,2,2,2,3,2,2,2,2,2,0,2,2,2,2,2,2,1,3,3,2,2,2,2,3,1,2,1,2,2,2,1,3,1,2
CER007,Granola con Pasas y Almendras,Cereales,SI,120,5.00,6.00,1.00,1,2,2,2,3,1,3,2,3,4,2,1,0,4,2,5,2,2,3,1,2,3,4,2,2,3,3,3,2,4,2,1,3,2,3,1,1,4,2,1,1,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,1,2,3,2,2,2,2,1,3,3,3,2,2,2,1,3,1,1,4,2,1,3,2,3,1,1
CER010,Granola Lonchera x 80gr.,Cereales,SI,120,5.00,6.00,1.00,2,1,1,2,1,0,0,0,1,2,2,1,1,2,0,0,0,2,1,0,2,1,2,0,2,0,2,0,2,2,2,1,1,1,2,3,0,2,2,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1,2,1,1,0,2,1,1,2,1,1,0,0,2,0,2,1,1,0,2,3,0,2,2,1,1,1,2,3,0
CER011,Granola con Granos Andinos x 80 gr.,Cereales,SI,120,5.00,6.00,1.00,1,0,1,1,1,2,2,0,4,3,0,0,1,2,1,1,2,1,1,2,1,1,3,2,1,1,2,2,4,3,0,0,1,2,2,1,1,3,1,0,1,1,1,1,1,2,2,2,2,2,2,2,1,2,2,2,1,2,1,1,2,2,2,1,2,1,2,2,2,2,1,2,2,1,1,3,0,0,1,2,2,1,1
CER012,Granola con Pasas y Almendras x 80 gr.,Cereales,SI,120,5.00,6.00,1.00,1,0,1,1,1,0,3,0,0,1,2,3,2,2,0,0,3,1,1,0,2,2,2,0,1,0,2,0,1,1,2,3,2,1,3,1,1,1,2,3,2,2,2,2,1,1,1,2,1,1,1,1,1,3,1,1,2,0,2,2,3,1,1,2,0,0,2,0,1,1,2,0,3,1,1,1,2,3,2,1,3,1,1
GALL003,Galleta Lonchera de Coco x 42 gr,Snacks,NO,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,
GALL004,Galleta Lonchera de Kiwicha x 42 gr,Snacks,NO,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,
GALL005,Galleta Lonchera de Naranja x 42 gr,Snacks,NO,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,
